Week "Recorded Brushes per Week" "Nicotine per Brush" "Nicotine per Day"
"2018 Jan 7" 4 0 0
"" 5 0 0
"" 12 0 0
"" 7 0 0
"Feb 4" 4 0 0
"" 11 0 0
"" 8 0 0
"" 6 0 0
"Mar 4" 3 0 0
"" 5 0 0
"" 3 0 0
"" 6 0 0
"Apr 1" 8 0 0
"" 5 0 0
"" 7 0 0
"" 1 0 0
"" 0 0 0
"May 6" 2 0 0
"" 0 0 0
"" 0 0 0
"" 2 0 0
"Jun 3" 2 0 0
"" 2 0 0
"" 4 500 500
"" 3 500 1500
"Jul 1" 4 625 2500
"" 4 500 2000
"" 5 700 3500
"" 5 1000 5000
"" 8 937 7500
"Aug 5" 6 1000 6000
"" 7 1000 7000
"" 10 1836 18360
"" 12 1958 23500
"Sep 2" 11 1285 14140
"" 8 1642 11500
"" 6 2000 12000
"" 7 2000 14000
"" 9 2777 25000
"Oct 7" 10 1444 13000
"" 15 997 14960
"" 28 957 26820
"" 28 1017 28500
"Nov 4" 12 880 10560
"" 26 936 24340
"" 21 902 18960
"" 28 948 26560
"Dec 2" 37 974 36040
"" 19 894 16990
"" 23 699 16080
"" 18 822 14800
"" 10 732 7320
"2019 Jan 7" 12 773 9280
"" 12 1036 12440
"" 10 1312 13120
"" 15 1165 17480
"Feb 4" 11 1167 12840
"" 9 1257 11320
"" 6 486 2920
"" 11 952 10480
"Mar 4" 9 560 5040
"" 14 860 12040
"" 13 1120 14560
"" 8 1145 9160
"Apr 1" 3 1080 3240
"" 11 872 9600
"" 14 1088 15240
"" 31 1086 33680
"" 30 1029 30880
"May 6" 31 1158 35920
"" 32 1263 40440
"" 23 1076 24760
"" 2 470 940
"Jun 3" 5 664 3320
"" 20 1226 24520
"" 13 1353 17600
"" 1 0 0
"Jul 1" 15 1389 20840
"" 4 1610 6440
"" 8 1680 13440
"" 3 1840 5520
"" 8 1735 13880
